date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho,days_to_expiration
2024-01-08,AAPL,2024-02-23,200.0,Call,1.08,1.15,0.1959,0.1676,0.0194,-0.0395,0.1649,0.0377,46 days
2024-01-08,AAPL,2024-02-23,205.0,Call,0.32,0.98,0.2048,0.1041,0.0134,-0.0292,0.1189,0.0235,46 days
2024-01-08,AAPL,2024-02-23,210.0,Call,0.26,0.35,0.2038,0.055,0.0083,-0.0176,0.0732,0.0124,46 days
2024-01-08,AAPL,2024-02-23,215.0,Call,0.12,0.42,0.2297,0.0448,0.0062,-0.0167,0.0621,0.0101,46 days
2024-01-08,AAPL,2024-02-23,220.0,Call,0.07,0.11,0.3166,0.0793,0.007,-0.0355,0.0971,0.0176,46 days
2024-01-08,AAPL,2024-02-23,225.0,Call,0.04,0.06,0.2238,0.0102,0.0018,-0.0046,0.0179,0.0023,46 days
2024-01-08,AAPL,2024-02-23,230.0,Call,0.02,0.05,0.4595,0.1148,0.0064,-0.0666,0.1276,0.0248,46 days
2024-01-08,AAPL,2024-02-23,235.0,Call,0.01,0.08,0.4497,0.086,0.0053,-0.0527,0.1033,0.0187,46 days
2024-01-08,AAPL,2024-02-23,240.0,Call,0.01,0.27,0.3653,0.0302,0.0028,-0.0187,0.0451,0.0067,46 days
2024-01-10,AAPL,2024-01-26,130.0,Call,56.15,57.5,0.9103,0.9768,0.0015,-0.0792,0.0213,0.0547,16 days
2024-01-10,AAPL,2024-01-26,135.0,Call,51.0,52.3,0.7252,0.9864,0.0012,-0.0502,0.0135,0.0578,16 days
2024-01-10,AAPL,2024-01-26,140.0,Call,46.2,47.55,0.7583,0.9706,0.0022,-0.0815,0.026,0.0586,16 days
2024-01-10,AAPL,2024-01-26,145.0,Call,41.2,42.35,0.6356,0.9752,0.0023,-0.0655,0.0226,0.0612,16 days
2024-01-10,AAPL,2024-01-26,150.0,Call,36.05,37.6,0.577,0.9692,0.003,-0.07,0.027,0.0629,16 days
2024-01-10,AAPL,2024-01-26,152.5,Call,33.15,35.1,0.4382,0.9876,0.0018,-0.0391,0.0124,0.0656,16 days
2024-01-10,AAPL,2024-01-26,157.5,Call,28.8,29.9,0.4697,0.962,0.0045,-0.0693,0.0321,0.0656,16 days
2024-01-10,AAPL,2024-01-26,162.5,Call,23.85,24.95,0.4076,0.952,0.0062,-0.0721,0.0388,0.0669,16 days
2024-01-10,AAPL,2024-01-26,167.5,Call,19.05,20.0,0.3579,0.9307,0.0095,-0.0808,0.0519,0.0673,16 days
2024-01-10,AAPL,2024-01-26,172.5,Call,14.15,14.95,0.2829,0.9129,0.0143,-0.0775,0.0617,0.0681,16 days
2024-01-10,AAPL,2024-01-26,175.0,Call,11.8,12.35,0.2463,0.8986,0.0184,-0.0761,0.069,0.068,16 days
2024-01-10,AAPL,2024-01-26,177.5,Call,9.55,9.9,0.2235,0.8633,0.0251,-0.0819,0.0853,0.0661,16 days
2024-01-10,AAPL,2024-01-26,182.5,Call,5.4,5.65,0.197,0.7133,0.0443,-0.1005,0.1326,0.0557,16 days
2024-01-10,AAPL,2024-01-26,185.0,Call,3.65,3.8,0.1833,0.5978,0.0541,-0.1023,0.1507,0.0471,16 days
2024-01-10,AAPL,2024-01-26,190.0,Call,1.35,1.4,0.1742,0.3183,0.0525,-0.0843,0.139,0.0253,16 days
2024-01-10,AAPL,2024-01-26,192.5,Call,0.73,0.78,0.1738,0.2024,0.0416,-0.0651,0.1099,0.0161,16 days
2024-01-10,AAPL,2024-01-26,197.5,Call,0.2,0.23,0.1809,0.0699,0.019,-0.0314,0.0523,0.0056,16 days
2024-01-10,AAPL,2024-01-26,200.0,Call,0.12,0.14,0.1908,0.0434,0.0123,-0.0225,0.0358,0.0034,16 days
2024-01-10,AAPL,2024-01-26,205.0,Call,0.04,0.05,0.2067,0.0158,0.0049,-0.0104,0.0154,0.0012,16 days
2024-01-10,AAPL,2024-01-26,210.0,Call,0.02,0.03,0.2333,0.0083,0.0025,-0.0067,0.0089,0.0006,16 days
2024-01-10,AAPL,2024-01-26,215.0,Call,0.01,0.02,0.2666,0.006,0.0016,-0.0057,0.0067,0.0004,16 days
2024-01-10,AAPL,2024-01-26,220.0,Call,0.01,0.02,0.3044,0.0053,0.0013,-0.0058,0.006,0.0004,16 days
2024-01-10,AAPL,2024-01-26,225.0,Call,0.0,0.01,0.4911,0.0385,0.0043,-0.051,0.0326,0.003,16 days
2024-01-10,AAPL,2024-01-26,230.0,Call,0.0,0.01,0.5253,0.0324,0.0035,-0.0473,0.0283,0.0025,16 days
2024-01-10,AAPL,2024-01-26,235.0,Call,0.0,0.01,0.5595,0.0281,0.0029,-0.0446,0.0251,0.0021,16 days
2024-01-10,AAPL,2024-01-26,240.0,Call,0.0,0.01,0.5937,0.0248,0.0025,-0.0427,0.0226,0.0019,16 days
2024-01-10,AAPL,2024-02-09,130.0,Call,56.35,58.1,0.7087,0.9707,0.0017,-0.0603,0.0355,0.1014,30 days
2024-01-10,AAPL,2024-02-09,135.0,Call,51.4,52.25,0.4502,0.9952,0.0005,-0.0253,0.0074,0.1096,30 days
2024-01-10,AAPL,2024-02-09,140.0,Call,46.45,47.3,0.4324,0.9917,0.0009,-0.029,0.012,0.1132,30 days
2024-01-10,AAPL,2024-02-09,145.0,Call,41.5,42.35,0.4041,0.9879,0.0014,-0.0322,0.0167,0.1167,30 days
2024-01-10,AAPL,2024-02-09,150.0,Call,36.55,37.4,0.3702,0.9834,0.002,-0.0351,0.0219,0.12,30 days
2024-01-10,AAPL,2024-02-09,155.0,Call,31.85,32.85,0.4117,0.9505,0.0046,-0.0588,0.0545,0.1188,30 days
2024-01-10,AAPL,2024-02-09,160.0,Call,26.45,27.9,0.3176,0.9607,0.005,-0.0464,0.0453,0.1246,30 days
2024-01-10,AAPL,2024-02-09,165.0,Call,22.2,22.85,0.3163,0.9231,0.0085,-0.0626,0.0769,0.1227,30 days
2024-01-10,AAPL,2024-02-09,170.0,Call,17.55,18.05,0.284,0.8873,0.0126,-0.0701,0.102,0.1211,30 days
2024-01-10,AAPL,2024-02-09,175.0,Call,13.15,13.5,0.2594,0.8239,0.0186,-0.0804,0.1381,0.1151,30 days
2024-01-10,AAPL,2024-02-09,180.0,Call,9.2,9.5,0.2449,0.7189,0.0257,-0.0918,0.1799,0.1023,30 days
2024-01-10,AAPL,2024-02-09,185.0,Call,5.85,6.1,0.2317,0.5778,0.0316,-0.0956,0.2088,0.0835,30 days
2024-01-10,AAPL,2024-02-09,190.0,Call,3.3,3.45,0.2196,0.4129,0.0332,-0.0869,0.2078,0.0604,30 days
2024-01-10,AAPL,2024-02-09,195.0,Call,1.57,1.78,0.2114,0.2548,0.0284,-0.0671,0.1713,0.0376,30 days
2024-01-10,AAPL,2024-02-09,200.0,Call,0.76,0.87,0.2136,0.1433,0.0198,-0.0468,0.1207,0.0212,30 days
2024-01-10,AAPL,2024-02-09,205.0,Call,0.32,0.36,0.2122,0.0695,0.0118,-0.027,0.0713,0.0103,30 days
2024-01-10,AAPL,2024-02-09,210.0,Call,0.15,0.18,0.2209,0.036,0.0067,-0.0165,0.0422,0.0053,30 days
2024-01-10,AAPL,2024-02-09,215.0,Call,0.07,0.08,0.2272,0.0174,0.0035,-0.0092,0.023,0.0026,30 days
2024-01-10,AAPL,2024-02-09,220.0,Call,0.04,0.06,0.245,0.0113,0.0022,-0.0068,0.0159,0.0016,30 days
2024-01-10,AAPL,2024-02-09,225.0,Call,0.02,0.04,0.2578,0.0068,0.0013,-0.0045,0.0101,0.001,30 days
2024-01-10,AAPL,2024-02-09,230.0,Call,0.01,0.03,0.2844,0.0062,0.0011,-0.0046,0.0094,0.0009,30 days
2024-01-10,AAPL,2024-02-09,235.0,Call,0.01,0.03,0.3102,0.0058,0.0009,-0.0047,0.0088,0.0008,30 days
2024-01-10,AAPL,2024-02-09,240.0,Call,0.01,0.02,0.3213,0.0038,0.0006,-0.0033,0.0061,0.0005,30 days
2024-01-10,AAPL,2024-03-15,130.0,Call,56.6,58.05,0.399,0.9883,0.0009,-0.026,0.0239,0.225,65 days
2024-01-10,AAPL,2024-03-15,135.0,Call,51.65,52.6,0.3741,0.9849,0.0012,-0.0278,0.0297,0.2326,65 days
2024-01-10,AAPL,2024-03-15,140.0,Call,46.9,48.25,0.3692,0.9751,0.002,-0.0327,0.0456,0.238,65 days
2024-01-10,AAPL,2024-03-15,145.0,Call,42.35,43.0,0.3413,0.969,0.0026,-0.0347,0.0548,0.2447,65 days
2024-01-10,AAPL,2024-03-15,150.0,Call,37.5,38.15,0.3191,0.9586,0.0035,-0.0378,0.0695,0.2498,65 days
2024-01-10,AAPL,2024-03-15,155.0,Call,32.75,33.3,0.2988,0.9433,0.0048,-0.0415,0.0892,0.2533,65 days
2024-01-10,AAPL,2024-03-15,160.0,Call,28.05,28.5,0.2778,0.9226,0.0066,-0.0454,0.1136,0.2549,65 days
2024-01-10,AAPL,2024-03-15,165.0,Call,23.55,23.85,0.2634,0.8885,0.0092,-0.0511,0.1536,0.2522,65 days
